Level,Date and Time,Source,Event ID,Task,Category
Information,12/29/2022 9:00:09 PM,Virtual Disk Service,4,None,Service stopped.
Information,12/29/2022 8:59:54 PM,Microsoft-Windows-Ntfs,98,None,Volume ?? (\Device\HarddiskVolumeShadowCopy8) is healthy.  No action is needed.
Information,12/29/2022 8:59:23 PM,Virtual Disk Service,3,None,Service started.
Information,12/29/2022 8:56:31 PM,Microsoft-Windows-Kernel-Power,566,(268),"The system session has transitioned from 10 to 12.

Reason InputAccelerometer 

BootId: 7"
Information,12/29/2022 8:50:15 PM,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.
Information,12/29/2022 8:49:08 PM,Microsoft-Windows-Kernel-Power,566,(268),"The system session has transitioned from 9 to 10.

Reason SessionUnlock 

BootId: 7"
Information,12/29/2022 8:46:10 PM,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.
Information,12/29/2022 8:44:21 PM,Volsnap,33,None,The oldest shadow copy of volume C: was deleted to keep disk space usage for shadow copies of volume C: below the user defined limit.
Information,12/29/2022 8:20:15 PM,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.
Information,12/29/2022 8:16:10 PM,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.
